clearingEventId,organisationName,buyVolumeInMWh,sellVolumeInMWh,eventStartTime,eventEndTime,ptuStartTime,ptuEndTime,buyVolumeInMW,sellVolumeInMW,eventDurationHours,ptuDurationMinutes
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 09:45:00+00:00,2025-10-02 10:00:00+00:00,57.0,57.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 09:30:00+00:00,2025-10-02 09:45:00+00:00,57.0,57.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 09:15:00+00:00,2025-10-02 09:30:00+00:00,57.0,57.0,5.0,15.0
b8b213e7-4821-48c8-95a5-587f30d128fa,TenneT,546.8,546.8,2025-10-02 09:00:00+00:00,2025-10-02 14:00:00+00:00,2025-10-02 09:00:00+00:00,2025-10-02 09:15:00+00:00,57.0,57.0,5.0,15.0
ed8f2f9a-7203-4e0c-905d-d8c95f6281be,TenneT,3.6,3.6,2025-10-01 18:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 19:45:00+00:00,2025-10-01 20:00:00+00:00,1.8,1.8,2.0,15.0
ed8f2f9a-7203-4e0c-905d-d8c95f6281be,TenneT,3.6,3.6,2025-10-01 18:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 19:30:00+00:00,2025-10-01 19:45:00+00:00,1.8,1.8,2.0,15.0
ed8f2f9a-7203-4e0c-905d-d8c95f6281be,TenneT,3.6,3.6,2025-10-01 18:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 19:15:00+00:00,2025-10-01 19:30:00+00:00,1.8,1.8,2.0,15.0
ed8f2f9a-7203-4e0c-905d-d8c95f6281be,TenneT,3.6,3.6,2025-10-01 18:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 19:00:00+00:00,2025-10-01 19:15:00+00:00,1.8,1.8,2.0,15.0
ed8f2f9a-7203-4e0c-905d-d8c95f6281be,TenneT,3.6,3.6,2025-10-01 18:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 18:45:00+00:00,2025-10-01 19:00:00+00:00,1.8,1.8,2.0,15.0
ed8f2f9a-7203-4e0c-905d-d8c95f6281be,TenneT,3.6,3.6,2025-10-01 18:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 18:30:00+00:00,2025-10-01 18:45:00+00:00,1.8,1.8,2.0,15.0
ed8f2f9a-7203-4e0c-905d-d8c95f6281be,TenneT,3.6,3.6,2025-10-01 18:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 18:15:00+00:00,2025-10-01 18:30:00+00:00,1.8,1.8,2.0,15.0
ed8f2f9a-7203-4e0c-905d-d8c95f6281be,TenneT,3.6,3.6,2025-10-01 18:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 18:00:00+00:00,2025-10-01 18:15:00+00:00,1.8,1.8,2.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 14:45:00+00:00,2025-10-01 15:00:00+00:00,1.2,1.2,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 14:30:00+00:00,2025-10-01 14:45:00+00:00,1.2,1.2,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 14:15:00+00:00,2025-10-01 14:30:00+00:00,1.2,1.2,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 14:15:00+00:00,1.2,1.2,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 13:45:00+00:00,2025-10-01 14:00:00+00:00,23.0,23.0,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 13:45:00+00:00,2025-10-01 14:00:00+00:00,1.0,1.0,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 13:30:00+00:00,2025-10-01 13:45:00+00:00,1.0,1.0,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 13:30:00+00:00,2025-10-01 13:45:00+00:00,23.0,23.0,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 13:15:00+00:00,2025-10-01 13:30:00+00:00,1.0,1.0,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 13:15:00+00:00,2025-10-01 13:30:00+00:00,23.0,23.0,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 13:15:00+00:00,1.0,1.0,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 13:15:00+00:00,23.0,23.0,5.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 12:45:00+00:00,2025-10-01 13:00:00+00:00,110.1,110.1,4.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 12:45:00+00:00,2025-10-01 13:00:00+00:00,1.1,1.1,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 12:45:00+00:00,2025-10-01 13:00:00+00:00,101.0,101.0,5.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 12:45:00+00:00,2025-10-01 13:00:00+00:00,2.3,2.3,3.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 12:30:00+00:00,2025-10-01 12:45:00+00:00,110.1,110.1,4.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 12:30:00+00:00,2025-10-01 12:45:00+00:00,1.1,1.1,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 12:30:00+00:00,2025-10-01 12:45:00+00:00,101.0,101.0,5.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 12:30:00+00:00,2025-10-01 12:45:00+00:00,2.3,2.3,3.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 12:15:00+00:00,2025-10-01 12:30:00+00:00,101.0,101.0,5.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 12:15:00+00:00,2025-10-01 12:30:00+00:00,2.3,2.3,3.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 12:15:00+00:00,2025-10-01 12:30:00+00:00,110.1,110.1,4.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 12:15:00+00:00,2025-10-01 12:30:00+00:00,1.1,1.1,5.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 12:00:00+00:00,2025-10-01 12:15:00+00:00,110.1,110.1,4.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 12:00:00+00:00,2025-10-01 12:15:00+00:00,2.3,2.3,3.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 12:00:00+00:00,2025-10-01 12:15:00+00:00,101.0,101.0,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 12:00:00+00:00,2025-10-01 12:15:00+00:00,1.1,1.1,5.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 11:45:00+00:00,2025-10-01 12:00:00+00:00,2.7,2.7,3.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 11:45:00+00:00,2025-10-01 12:00:00+00:00,1.0,1.0,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 11:45:00+00:00,2025-10-01 12:00:00+00:00,204.0,204.0,5.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 11:45:00+00:00,2025-10-01 12:00:00+00:00,33.5,33.5,4.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 11:30:00+00:00,2025-10-01 11:45:00+00:00,2.7,2.7,3.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 11:30:00+00:00,2025-10-01 11:45:00+00:00,1.0,1.0,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 11:30:00+00:00,2025-10-01 11:45:00+00:00,204.0,204.0,5.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 11:30:00+00:00,2025-10-01 11:45:00+00:00,33.5,33.5,4.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 11:15:00+00:00,2025-10-01 11:30:00+00:00,33.5,33.5,4.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 11:15:00+00:00,2025-10-01 11:30:00+00:00,204.0,204.0,5.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 11:15:00+00:00,2025-10-01 11:30:00+00:00,2.7,2.7,3.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 11:15:00+00:00,2025-10-01 11:30:00+00:00,1.0,1.0,5.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 11:00:00+00:00,2025-10-01 11:15:00+00:00,33.5,33.5,4.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 11:00:00+00:00,2025-10-01 11:15:00+00:00,1.0,1.0,5.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 11:00:00+00:00,2025-10-01 11:15:00+00:00,204.0,204.0,5.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 11:00:00+00:00,2025-10-01 11:15:00+00:00,2.7,2.7,3.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 10:45:00+00:00,2025-10-01 11:00:00+00:00,126.0,126.0,5.0,15.0
8300e1ce-cc40-4cb1-8329-f1835da7201f,TenneT,6.7,6.7,2025-10-01 10:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 10:45:00+00:00,2025-10-01 11:00:00+00:00,1.7,1.7,3.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 10:45:00+00:00,2025-10-01 11:00:00+00:00,1.1,1.1,5.0,15.0
35fd2270-c808-40ae-9ca2-8ae303587234,TenneT,207.2,207.2,2025-10-01 09:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 10:45:00+00:00,2025-10-01 11:00:00+00:00,44.6,44.6,4.0,15.0
482ff545-51eb-4270-928e-bb17389ca03b,TenneT,479.0,479.0,2025-10-01 09:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 10:30:00+00:00,2025-10-01 10:45:00+00:00,126.0,126.0,5.0,15.0
dcc6b370-ee48-4386-bdfc-eabc7db3fc8c,TenneT,5.4,5.4,2025-10-01 10:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 10:30:00+00:00,2025-10-01 10:45:00+00:00,1.1,1.1,5.0,15.0
